AFTER,IAPF (Hz.),Theta peak frequency (Hz.),Alpha peak frequency (Hz.),Beta peak frequency (Hz.),Baseline Alpha Gravity (Alpha1 / Alpha2 Power),Alpha Gravity (Alpha1 / Alpha2 Power),Baseline Fatigue score (Alpha /Theta /Beta Power),Fatigue score (Alpha /Theta /Beta Power),Baseline Concentration index (Beta/ Alpha Power),Concentration Index (Beta/ Alpha Power),Baseline Relaxation index (Alpha /Beta Power),Relaxation index  (Alpha /Beta Power),Chill %,Stress %,Focus %,Anger %,Self-control %,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
,10.3000001907349,5.12361666827956,10.1997748516046,19.794332881246,0.921066343784332,0.802694475379014,15.5116653442383,12.1549335741025,0.111138865351677,0.0910307885000869,15.2221155166626,11.5015052410829,71.5683268536168,9.32497226627966,8.55242454363899,46.9086939514558,62.6983923173067,,,,,,,,,,
,10.3000001907349,5.006820246363,10.2265522560731,19.8228596699004,0.921066343784332,0.966462607615034,15.5116653442383,10.228516516105,0.111138865351677,0.114410053344651,15.2221155166626,9.7777167034072,70.8563479379891,3.76652340731984,14.3301717790903,49.0165542403078,60.8549510793748,,,,,,,,,,
,10.3000001907349,5.13782083034515,9.37875081261134,17.8375618690621,0.921066343784332,0.568588296789492,15.5116653442383,11.5466337095798,0.111138865351677,0.109465480446816,15.2221155166626,10.8176980158328,83.8381490179304,16.8285336339124,11.5491421515856,35.6889380663148,74.1652455407556,,,,,,,,,,
,10.3000001907349,5.64291592370344,8.99719575194484,17.9748624530347,0.921066343784332,0.44603341763218,15.5116653442383,11.9005223007881,0.111138865351677,0.101521288927609,15.2221155166626,11.1038571321579,90.5031472486971,10.8417490871207,7.02331295697784,20.5217963221775,89.4695794806126,,,,,,,,,,
,10.3000001907349,5.15617371428322,10.2075503389248,20.0258927236284,0.921066343784332,0.789058138772166,15.5116653442383,11.732951930475,0.111138865351677,0.0996279168120502,15.2221155166626,11.0842534402284,70.4950273191774,8.18410623838593,20.490446160366,21.4486846211669,88.5504091560067,,,,,,,,,,
,10.3000001907349,5.05477829778079,10.3630807702365,19.1256617976623,0.921066343784332,1.1018506739778,15.5116653442383,11.8770818130253,0.111138865351677,0.0934943367096577,15.2221155166626,11.3366723647473,72.7492128884522,5.46613797369849,10.2258498948384,23.0586314864915,86.9413711399708,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID-017,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9.60000038146973,5.29020553974658,9.49786729997803,18.1840324184115,0.76118465766166,0.680241732024453,4.63667462173018,5.07419048131863,0.100385859174636,0.0274997822226637,4.08961393300769,4.67013222982969,61.9294575100853,27.4796376273746,45.6284032185872,50.5003777821859,59.0519800640288,,,,,,,,,,
,9.60000038146973,4.7304201882204,9.56887299247209,16.7811889406447,2.24005770683289,1.36905331594257,13.6450710296631,8.79624556973233,0.295421242713928,0.233117027517881,12.0351495742798,5.48029708816493,48.8840776064497,32.5804234358697,42.2015966297361,40.036077257088,47.4338934273984,,,,,,,,,,
,9.60000038146973,4.84878650526748,8.5682520044826,17.0661011228669,2.24005770683289,0.860045242583203,13.6450710296631,8.39897127926441,0.295421242713928,0.255481491493328,12.0351495742798,5.48827709804384,44.8241132059602,35.347041679615,38.4453105957129,32.416539698887,44.3824366267956,,,,,,,,,,
,9.60000038146973,4.84042316551049,8.98416532285554,17.5819603479402,2.24005770683289,1.88576795674356,13.6450710296631,10.8664091078545,0.295421242713928,0.17986745006979,12.0351495742798,8.41256075812183,61.1512570215651,32.0526877694879,21.9769813175044,33.7681204236243,60.4747211550878,,,,,,,,,,
,9.60000038146973,4.91947377472762,9.84625037318362,18.9149408524574,2.24005770683289,2.47663330546189,13.6450710296631,12.8120402748895,0.295421242713928,0.115921444478437,12.0351495742798,10.9260345218671,84.2019585288317,24.1898488853183,6.33309159420435,34.0275756913393,75.3302399817659,,,,,,,,,,
